user_id,age,gender
1,4,1
2,10,1
3,7,2
4,5,1
5,4,1
6,6,1
7,6,2
8,5,1
9,5,1
10,9,2
11,8,2
12,5,1
13,6,2
14,7,1
15,5,2
16,3,2
17,3,1
18,2,2
19,3,1
20,4,1
21,6,2
22,4,1
23,5,2
24,1,2
25,6,2
26,4,2
27,4,1
28,2,2
29,9,1
30,4,1
31,5,1
32,2,1
33,3,1
34,8,1
35,7,2
36,6,1
37,4,1
38,2,1
39,3,1
40,6,1
41,6,1
42,4,2
43,9,1
44,1,1
45,4,1
46,4,1
47,7,1
48,4,2
49,2,2
50,5,1
51,3,2
52,2,2
53,7,1
54,7,1
55,1,2
56,1,1
57,3,2
58,3,2
59,4,2
60,3,1
61,2,1
62,6,1
63,4,2
64,2,1
65,5,2
66,4,1
67,5,1
68,3,1
69,2,2
70,2,1
71,5,1
72,3,1
73,3,2
74,3,1
75,2,1
76,3,2
77,6,2
78,7,1
79,2,2
80,5,1
81,3,2
82,4,1
83,3,1
84,4,1
85,2,2
86,3,2
87,4,1
88,5,2
89,5,2
90,3,2
91,1,2
92,5,1
93,2,2
94,2,1
95,4,2
96,2,2
97,7,2
98,2,2
99,5,2
100,3,1
